steam_appid,nome,data_de_lancamento,plataforma,generos,avaliacoes_positivas,avaliacoes_negativas,media_tempo_jogado,preco
630,"Alien Swarm",2010-07-19,windows,Action,17435,941,371,0
1002,"Rag Doll Kung Fu",2005-10-12,windows,Indie,40,17,0,5.99
1300,"SiN Episodes: Emergence",2006-05-10,windows,Action,468,61,0,7.19
1600,"Dangerous Waters",2006-02-07,windows,Strategy,140,44,0,22.99
1610,"Space Empires IV Deluxe",2006-02-07,windows,Strategy,112,26,0,6.99
1630,"Disciples II: Rise of the Elves ",2006-07-06,windows,Strategy,451,108,0,4.99
1640,"Disciples II: Gallean's Return",2006-07-06,windows,Strategy,490,152,9,4.99
1670,"Iron Warriors: T - 72 Tank Command ",2006-07-26,windows,Strategy,137,102,0,3.99
1690,"Space Empires V",2006-10-16,windows,Strategy,191,85,35,10.99
1700,"Arx Fatalis",2007-04-03,windows,RPG,671,106,11,2.99
1840,"Source Filmmaker",2012-07-10,windows,"Animation & Modeling;Video Production",15083,1111,239,0
2100,"Dark Messiah of Might & Magic",2006-10-25,windows,Action;RPG,4386,316,634,4.29
2200,"Quake III Arena",2007-08-03,windows,Action,1362,66,123,12.99
2210,"Quake IV",2011-08-04,windows,Action,891,171,36,12.99
2270,"Wolfenstein 3D",2007-08-03,windows,Action,1773,87,69,2.99
2280,"Ultimate Doom",2007-08-03,windows,Action,3705,257,125,3.99
2290,"Final DOOM",2007-08-03,windows,Action,573,82,120,3.99
2300,"DOOM II",2007-08-03,windows,Action,2517,182,90,3.99
2310,QUAKE,2007-08-03,windows,Action,2618,136,167,3.99
2320,"QUAKE II",2007-08-03,windows,Action,1369,107,291,3.99
2330,"QUAKE II Mission Pack: The Reckoning",2007-08-03,windows,Action,65,12,32,2.49
2340,"QUAKE II Mission Pack: Ground Zero",2007-08-03,windows,Action,54,33,1,2.49
2350,"QUAKE III: Team Arena",2007-08-03,windows,Action,108,31,0,12.99
2360,"HeXen: Beyond Heretic",2007-08-03,windows,Action,249,26,50,2.99
2370,"HeXen: Deathkings of the Dark Citadel",2007-08-03,windows,Action,57,20,0,2.99
2390,"Heretic: Shadow of the Serpent Riders",2007-08-03,windows,Action,417,29,0,2.99
2400,"The Ship: Murder Party",2006-07-11,windows,Action;Indie;RPG,4819,792,233,0
2450,"Bloody Good Time",2010-10-29,windows,Action,662,204,193,4.29
2520,"Gumboy - Crazy Adventuresâ„¢",2006-12-19,windows,Casual;Indie,52,46,0,0
2590,"Alpha Prime",2007-11-07,windows,Action,610,523,0,2.99
2600,"Vampire: The Masquerade - Bloodlines",2007-03-22,windows,Action,6161,362,350,14.99
2610,GUNâ„¢,2006-10-13,windows,Action,740,87,462,9.99
2620,"Call of DutyÂ®",2006-10-13,windows,Action,1555,117,545,14.99
2640,"Call of Duty: United Offensive",2006-10-13,windows,Action,490,97,0,14.99
2710,"Act of War: Direct Action",2008-03-12,windows,Action,180,33,0,1.99
2720,"ThreadSpace: Hyperbol",2007-07-12,windows,Action;Indie;Strategy,31,9,0,3.99
2780,"ARMA: Combat Operations",2008-03-12,windows,Action,145,77,0,5.99
2800,"X2: The Threat",2006-07-21,windows,Strategy,212,50,732,4.99
2840,"X: Beyond the Frontier",2010-10-08,windows,Simulation;Strategy,142,48,648,3.49
2850,"X: Tension",2010-10-08,windows,Simulation;Strategy,57,18,13,3.49
2900,"688(I) Hunter/Killer",2006-10-26,windows,Strategy,52,17,0,22.99
2910,"Fleet Command",2006-10-26,windows,Strategy,127,31,0,22.99
2920,"Sub Command",2006-10-26,windows,Strategy,33,14,0,22.99
2990,"FlatOut 2â„¢",2006-12-21,windows,Racing,5438,343,293,5.99
3010,"Xpand Rally",2006-08-24,windows,Racing,139,39,939,3.99
3020,"Call of Juarezâ„¢",2007-11-08,windows,Action,793,198,46,8.59
3050,"Xpand Rally Xtreme",2008-10-08,windows,Racing,71,36,0,3.99
3130,"Men of War: Red Tide",2009-11-01,windows,Strategy,294,69,0,3.99
3230,"Genesis Rising",2007-08-06,windows,Strategy,30,94,0,4.49
3260,"Safecracker: The Ultimate Puzzle Adventure",2007-08-29,windows,Adventure;Casual,256,172,1,4.49
3270,"Painkiller Overdose",2007-10-30,windows,Action,429,137,270,4.49
3410,"Heavy Weapon Deluxe",2006-08-30,windows,Casual,71,28,0,4.25
3483,"Peggle Extreme",2007-09-11,windows,Casual,707,58,1,0
3490,"Venice Deluxe",2007-06-25,windows,Casual,10,2,0,4.25
3500,"Mystery P.I.â„¢ - The Lottery Ticket",2007-10-16,windows,Casual,10,3,0,4.25
3510,"Amazing Adventures The Lost Tombâ„¢",2007-12-13,windows,Casual,21,8,0,4.25
3520,"Mystery P.I.â„¢ - The Vegas Heist",2008-06-05,windows,Casual,11,5,0,4.25
3530,"Amazing Adventures Around the World",2009-04-15,windows,Casual,23,7,0,4.25
3560,"Bejeweled Twist",2008-11-18,windows,Strategy;Casual,98,18,0,4.25
3570,"Mystery P.I.â„¢ - The New York Fortune",2009-01-28,windows,Casual,8,5,0,4.25
3580,"The Wizard's Penâ„¢",2009-02-18,windows,Casual,15,3,0,4.25
3610,"Mystery P.I. - Lost in Los Angeles",2009-07-27,windows,Casual,8,3,0,4.25
3620,"Zuma's Revenge!",2009-09-15,windows,Action;Casual,435,28,0,4.25
3700,"Sniper Elite",2009-07-16,windows,Action,1181,377,262,5.59
3710,"Judge Dredd: Dredd vs. Death",2009-03-26,windows,Action,559,79,8,5.59
3720,"Evil Genius",2009-06-22,windows,Strategy,1847,95,287,6.99
3730,"Aliens versus Predator Classic 2000",2010-01-15,windows,Action,1434,219,20,3.99
3800,"Advent Rising",2006-09-14,windows,Action,260,71,0,7.19
3810,BloodRayne,2006-09-14,windows,Action,369,110,111,6.99
3820,"BloodRayne 2",2006-09-14,windows,Action,259,103,771,6.99
3910,"Sid Meier's CivilizationÂ® III Complete",2006-10-25,windows,Strategy,2578,405,1166,2.99
3920,"Sid Meier's Pirates!",2005-07-11,windows,RPG,2641,193,296,5.99
3960,"Shattered Union",2006-10-25,windows,Strategy,39,49,0,2.99
3980,"CivCity: Rome",2007-04-06,windows,Strategy,184,65,0,5.99
4100,"Poker Superstars II",2006-10-05,windows,Casual;Strategy;Indie,4,5,0,5.99
4230,"RACE - The WTCC Game",2006-11-24,windows,Racing,119,43,0,25.99
4290,"RACE: Caterham Expansion",2007-06-22,windows,Racing,4,2,0,3.99
4300,RoboBlitz,2006-11-07,windows,Action;Indie,43,14,78,5.99
4420,Silverfall,2007-03-20,windows,RPG,57,36,0,7.99
4460,"City Life 2008",2008-09-29,windows,Simulation;Strategy,77,41,0,6.99
4470,"Silverfall: Earth Awakening",2008-07-18,windows,RPG,31,17,0,7.99
4500,"S.T.A.L.K.E.R.: Shadow of Chernobyl",2007-03-20,windows,Action;RPG,11039,570,493,9.99
4520,"Full Spectrum Warrior",2007-07-17,windows,Action;Strategy,106,60,124,7.99
4530,"Full Spectrum Warrior: Ten Hammers",2007-07-17,windows,Action;Strategy,76,38,1,4.99
4560,"Company of Heroes - Legacy Edition",2007-07-17,windows,Violent;Action;Strategy,4772,320,175,0
4570,"WarhammerÂ® 40,000: Dawn of WarÂ® - Game of the Year Edition",2007-08-07,windows,Strategy,3485,206,309,9.99
4580,"WarhammerÂ® 40,000: Dawn of WarÂ® - Dark Crusade",2007-08-07,windows,Strategy,2849,133,543,9.99
4720,"Condemned: Criminal Origins",2012-10-29,windows,Action,1243,221,312,9.99
4760,"Rome: Total Warâ„¢ - Collection",2007-08-28,windows,Strategy,7806,562,897,8.99
4770,"Rome: Total Warâ„¢ - Alexander",2007-08-28,windows,Strategy,331,131,33,8.99
4800,"Heroes of Annihilated Empires",2006-11-22,windows,Strategy,259,46,0,9.99
4850,"Cossacks: Back to War",2010-09-02,windows,Strategy,1081,143,1134,3.99
4870,"Cossacks: Art of War",2011-08-26,windows,Strategy,102,22,0,3.99
4880,"Cossacks: European Wars",2011-08-26,windows,Strategy,170,66,1,3.99
4890,"Cossacks II: Battle for Europe",2011-08-26,windows,Strategy,246,138,71,3.99
4900,"Zen of Sudoku",2006-12-14,windows,Casual;Indie,122,17,0,0
6000,"STAR WARSâ„¢ Republic Commandoâ„¢",2009-07-08,windows,Action,6392,379,369,7.19
6060,"Star Wars: Battlefront 2 (Classic, 2005)",2009-07-08,windows,Action,29149,2425,618,7.19
6080,"ThrillvilleÂ®: Off the Railsâ„¢",2009-07-08,windows,Action;Adventure;Racing;Simulation;Strategy,272,38,17,7.19
6090,"Armed and DangerousÂ®",2009-07-08,windows,Action,115,18,100,4.79
6200,"Ghost MasterÂ®",2006-12-21,windows,Strategy,1025,164,21,3.99
6210,"Vegas: Make It Bigâ„¢",2006-12-21,windows,Strategy,91,33,0,3.99
6220,FlatOut,2007-02-02,windows,Racing,1977,186,78,4.99
6250,"Making History: The Calm & the Storm",2007-03-13,windows,Action;Strategy,460,107,0,3.99
6270,"Ducati World Championship",2007-09-21,windows,Racing,77,100,0,3.99
6300,"Dreamfall: The Longest Journey",2007-01-12,windows,Adventure;RPG,588,89,20,13.99
6310,"The Longest Journey",2007-05-01,windows,Action;Adventure;RPG,1152,102,14,5.99
6370,"Bloodline Champions",2011-10-28,windows,"Action;Free to Play;Massively Multiplayer",1365,226,70,0
6400,"Joint Task Force",2007-03-27,windows,Action;Strategy,100,15,0,5.79
6420,"Nexus - The Jupiter Incident",2007-07-03,windows,Indie;Simulation;Strategy,474,90,0,6.99
6510,"Lost Planetâ„¢: Extreme Condition",2007-06-29,windows,Action;Adventure,569,178,74,9.99
6550,"Devil May CryÂ® 3 Special Edition",2007-06-12,windows,Action,1462,1052,90,15.99
6800,"Commandos: Behind Enemy Lines",2007-03-15,windows,Action,1561,213,63,3.99
6810,"Commandos: Beyond the Call of Duty",2007-03-15,windows,Action,404,71,12,3.99
6830,"Commandos 2: Men of Courage",2007-03-15,windows,Action,1333,238,201,3.99
6840,"Commandos 3: Destination Berlin",2007-03-15,windows,Action,421,265,14,3.99
6850,"Hitman 2: Silent Assassin",2007-03-15,windows,Action,1514,260,63,8.29
6860,"Hitman: Blood Money",2007-03-15,windows,Action,5864,391,435,9.29
6870,"Battlestations: Midway",2007-03-15,windows,Action,316,113,0,4.99
6880,"Just Cause",2007-03-15,windows,Action,1732,846,20,4.99
6900,"Hitman: Codename 47",2007-03-15,windows,Action,1186,450,62,7.19
6910,"Deus Ex: Game of the Year Edition",2007-03-29,windows,Action,6242,347,324,4.99
6920,"Deus Ex: Invisible War",2007-03-29,windows,Action,649,433,24,4.99
6980,"Thief: Deadly Shadows",2007-03-29,windows,Action,1135,210,254,6.99
7000,"Tomb Raider: Legend",2007-03-29,windows,Action;Adventure,1656,243,714,4.99
7010,"Project: Snowblind",2007-03-29,windows,Action,175,61,0,3.99
7020,"Rogue Trooper",2007-03-29,windows,Action,248,15,0,6.99
7110,"Jade Empireâ„¢: Special Edition",2007-02-27,windows,RPG,809,279,0,8.99
7200,"Trackmania United Forever Star Edition",2008-04-16,windows,Racing,963,55,4774,25.99
7210,"Runaway, A Road Adventure",2007-03-14,windows,Adventure,236,90,14,6.99
7220,"Runaway, The Dream of The Turtle",2007-03-14,windows,Adventure,86,65,0,6.99
7260,Loki,2007-10-05,windows,RPG,69,54,0,6.99
7340,Azada,2010-04-21,windows,Casual;Indie,8,4,0,6.99
7610,"Railroad Tycoon 3",2007-05-04,windows,Strategy,355,153,46,5.99
7620,"Railroad Tycoon II Platinum",2007-05-04,windows,Strategy,420,82,1244,2.99
