steam_appid,nome,data_de_lancamento,plataforma,generos,avaliacoes_positivas,avaliacoes_negativas,media_tempo_jogado,preco
219340,"The Banner Saga: Factions",2013-02-25,windows;mac,"Free to Play;Indie;RPG;Strategy",569,202,95245,0.00
252690,"Fantasy Grounds",2014-05-09,windows;mac,Indie;RPG;Strategy,377,100,43074,29.99
39210,"FINAL FANTASY XIV Online",2014-02-18,windows,"Massively Multiplayer;RPG",9808,2107,28897,9.99
570,"Dota 2",2013-07-09,windows;mac;linux,"Action;Free to Play;Strategy",863507,142079,23944,0.00
730,"Counter-Strike: Global Offensive",2012-08-21,windows;mac;linux,"Action;Free to Play",2644404,402313,22494,0.00
107410,"Arma 3",2013-09-12,windows,Action;Simulation;Strategy,105034,12524,18823,29.99
10,Counter-Strike,2000-11-01,windows;mac;linux,Action,124534,3339,17612,7.19
9880,"Champions Online",2011-06-14,windows,"Free to Play;Massively Multiplayer;RPG",2081,823,12952,0.00
4000,"Garry's Mod",2006-11-29,windows;mac;linux,Indie;Simulation,363721,16433,12422,6.99
252490,Rust,2018-02-08,windows;mac,"Action;Adventure;Indie;Massively Multiplayer;RPG",220370,53709,9352,27.79
