steam_appid,nome,data_de_lancamento,plataforma,generos,avaliacoes_positivas,avaliacoes_negativas,media_tempo_jogado,preco
209160,"Call of DutyÂ®: Ghosts",2014-03-25,windows,Action,14892,10757,266,39.99
209650,"Call of DutyÂ®: Advanced Warfare - Gold Edition",2014-11-03,windows,Action,13389,8379,250,39.99
202970,"Call of DutyÂ®: Black Ops II",2012-11-12,windows,Action,25827,4658,524,39.99
228380,Wreckfest,2018-06-14,windows,Action;Indie;Racing;Simulation;Sports,8834,2486,778,38.99
21090,F.E.A.R.,2010-05-21,windows,Action,6371,438,389,35.96
24010,"Train Simulator 2019",2015-09-17,windows,Simulation,8573,5336,287,34.99
236850,"Europa Universalis IV",2013-08-13,windows;mac;linux,Simulation;Strategy,40346,8254,8138,34.99
46700,"Ironclads: American Civil War",2010-04-28,windows,Strategy,9,30,0,34.95
46710,"Ironclads: High Seas",2010-04-28,windows,Strategy,15,21,0,34.95
46760,"Ironclads: Schleswig War 1864",2011-06-21,windows,Strategy,6,13,0,34.95
