steam_appid,nome,data_de_lancamento,plataforma,generos,avaliacoes_positivas,avaliacoes_negativas,media_tempo_jogado,preco
730,"Counter-Strike: Global Offensive",2012-08-21,windows;mac;linux,"Action;Free to Play",2644404,402313,22494,0
570,"Dota 2",2013-07-09,windows;mac;linux,"Action;Free to Play;Strategy",863507,142079,23944,0
440,"Team Fortress 2",2007-10-10,windows;mac;linux,"Action;Free to Play",515879,34036,8495,0
4000,"Garry's Mod",2006-11-29,windows;mac;linux,Indie;Simulation,363721,16433,12422,6.99
218620,"PAYDAY 2",2013-08-13,windows;linux,Action;RPG,308657,56523,3975,7.49
105600,Terraria,2011-05-16,windows;mac;linux,Action;Adventure;Indie;RPG,255600,7797,5585,6.99
550,"Left 4 Dead 2",2009-11-19,windows;mac;linux,Action,251789,8418,1615,7.19
252950,"Rocket LeagueÂ®",2015-07-07,windows;mac;linux,Action;Indie;Racing;Sports,242561,21816,5825,14.99
72850,"The Elder Scrolls V: Skyrim",2011-11-10,windows,RPG,237303,14951,7089,9.99
230410,Warframe,2013-03-25,windows,"Action;Free to Play",226541,20268,5845,0
